area,bedrooms,age,price
1215,3,51,155000
1908,4,8,202900
841,2,59,82000
1040,2,57,87500
1684,2,3,266000
1112,3,34,85000
1577,3,67,140200
958,2,47,151500
1478,3,49,157500
1626,2,5,154000
2728,4,1,437154
1869,2,0,318061
1453,2,20,190000
1111,3,67,95000
720,2,82,105900
1595,2,66,140000
1200,3,12,177500
1167,3,17,173000
1142,3,31,134000
1352,3,48,130000
1924,3,8,280000
912,2,29,156000
1505,3,68,145000
1922,4,6,198500
987,2,37,118000
1574,3,30,190000
1344,3,89,147000
1394,3,46,159000
1431,3,46,165000
1268,2,56,132000
1287,3,51,162000
1664,3,6,172400
1588,4,49,134432
752,2,26,125000
1319,3,56,123000
1928,4,4,219500
904,1,87,61000
914,2,10,148000
2466,4,3,340000
1856,1,0,394432
1800,3,9,179000
1691,3,86,127000
1301,2,0,187750
1797,3,1,213500
784,2,81,76000
1953,3,15,240000
1269,2,6,192000
1184,5,96,81000
1125,3,33,125000
1479,3,9,191000
2332,3,1,426000
1367,4,108,119000
1961,3,8,215000
882,3,48,106500
788,2,65,100000
1034,2,67,109000
1144,3,54,129000
894,2,37,123000
1812,4,45,169500
1077,2,87,67000
1550,2,3,241000
1288,1,12,245500
1310,3,1,164990
672,2,68,108000
2263,4,8,258000
1572,3,12,168000
1620,3,33,150000
1639,3,72,115000
1680,4,93,177000
2172,3,1,280000
2078,3,1,339750
1276,3,51,60000
1056,3,51,145000
1478,2,1,222000
1028,2,83,115000
2097,3,15,228000
1340,3,0,181134
1400,3,28,149500
2624,4,89,239000
1134,3,67,126000
1056,3,42,142000
1344,2,11,206300
1602,3,32,215000
988,2,54,113000
2630,4,10,315000
1196,2,52,139000
1389,3,63,135000
1644,2,20,275000
907,3,51,109008
1208,2,0,195400
1412,3,21,175000
987,2,37,85400
1198,4,88,79900
1365,2,36,122500
1604,3,11,181000
630,1,36,81000
1661,3,13,212000
1118,2,86,116000
904,2,83,119000
694,2,94,90350
1196,3,89,110000
2402,2,1,555000
1440,4,53,118000
1573,3,78,162900
1258,2,1,172500
1908,4,14,210000
1689,3,53,127500
1888,2,44,190000
1886,4,8,199900
1376,3,69,119500
1183,2,59,120000
813,2,76,110000
1533,2,31,280000
1756,3,11,204000
1590,3,1,210000
1728,4,30,188000
1242,3,34,175500
1344,4,92,98000
1663,2,54,256000
1666,3,83,161000
1203,3,59,110000
1935,3,0,263435
1135,3,73,155000
864,3,44,62383
1660,3,74,188700
1040,3,31,124000
1414,2,2,178740
1277,2,37,167000
1644,3,65,146500
1634,3,1,250000
1710,3,15,187000
1502,1,25,212000
1969,3,30,190000
1072,2,3,148000
1976,2,1,440000
1652,2,7,251000
970,2,44,132500
1493,3,11,208900
2643,3,1,380000
1718,3,2,297000
1131,2,70,89471
1850,3,2,326000
1792,2,3,374000
1826,4,94,155000
1216,2,8,164000
999,3,45,132500
1113,3,59,147000
1073,3,42,156000
1484,3,36,175000
2414,3,106,160000
630,1,39,86000
1304,3,32,115000
1578,3,65,133000
1456,3,0,172785
1269,3,48,155000
886,2,71,91300
720,2,89,34900
3228,4,15,430000
1820,4,83,184000
899,3,42,130000
912,2,49,120000
1218,3,34,113000
1768,3,3,226700
1214,2,42,140000
1801,1,51,289000
1322,3,35,147000
1960,4,57,124500
1911,3,13,215000
1218,2,0,208300
1378,3,80,161000
1041,3,50,124500
1363,2,58,164900
1368,2,1,202665
864,3,48,129900
1080,3,24,134000
789,2,81,96500
2020,3,0,402861
2119,3,37,158000
2344,3,13,265000
1796,3,9,211000
2080,3,83,234000
1294,3,108,106250
1244,3,50,150000
1664,3,59,159000
4676,3,0,184750
2398,3,11,315750
1266,3,1,176000
928,2,51,132000
2713,3,0,446261
605,2,87,86000
2515,4,50,200624
1509,3,20,175000
1362,3,88,128000
827,2,55,107500
334,1,61,39300
1414,3,2,178000
1347,3,98,107500
1724,3,10,188000
864,3,36,111250
1159,3,38,158000
1601,3,9,272000
1838,2,3,315000
2285,4,7,248000
1680,3,11,213250
767,1,9,133000
1496,3,0,179665
2183,4,18,229000
1635,3,84,210000
768,2,37,129500
825,2,53,125000
2094,4,6,263000
1069,2,31,140000
928,3,51,112500
1717,3,3,255500
1126,2,60,108000
2046,3,5,284000
1048,2,84,113000
1092,2,49,141000
1336,3,86,108000
1446,3,12,175000
1557,2,3,234000
1392,3,53,121500
1389,2,32,170000
996,3,68,108000
1674,4,90,185000
2295,4,14,268000
1647,4,95,128000
2504,4,3,325000
1535,3,6,214000
2132,1,26,316600
943,2,27,135960
1728,6,43,142600
864,2,47,120000
1692,3,0,224500
1430,3,7,170000
1109,3,36,139000
1216,2,61,118500
1477,3,81,145000
1320,3,40,164500
1392,2,1,146000
1795,4,54,131500
1429,3,47,181900
2042,3,1,253293
816,3,17,118500
2775,3,115,325000
1573,3,74,133000
2028,2,1,369900
838,2,90,130000
860,2,27,137000
1473,1,41,143000
935,2,78,79500
1582,3,4,185900
2296,3,1,451950
816,2,26,138000
848,1,6,140000
924,3,33,110000
1826,3,1,319000
1368,3,96,114504
1402,2,1,194201
1647,3,29,217500
1556,3,28,151000
1904,3,1,275000
1375,3,70,141000
1915,3,14,220000
1200,2,6,151000
1494,3,6,221000
1986,3,44,205000
1040,3,13,152000
2008,3,58,225000
3194,4,73,359100
1029,3,46,118500
2153,3,9,313000
1032,3,29,148000
1872,3,8,261500
1120,3,0,147000
630,1,38,75500
1054,3,47,137500
1509,3,4,183200
832,2,54,105500
1828,3,0,314813
2262,4,5,305000
864,2,94,67000
2614,4,34,240000
980,3,32,135000
1512,2,7,168500
1790,4,34,165150
1116,3,48,160000
1422,3,47,139900
1520,3,55,153000
2080,5,38,135000
1350,3,44,168500
1750,3,126,124000
1554,2,1,209500
1411,3,32,82500
1056,3,53,139400
3395,8,93,200000
800,1,73,60000
1387,3,55,93000
796,2,98,85000
1567,1,0,264561
1518,1,5,274000
1929,3,6,226000
2704,4,37,345000
1620,4,38,152000
1766,2,0,370878
981,3,36,143250
1048,3,58,98300
1094,3,55,155000
1839,4,44,155000
630,1,37,84500
1665,3,1,205950
1510,4,69,108000
1716,2,13,191000
1469,3,102,135000
2113,2,13,350000
1092,3,39,88000
1053,3,49,145500
1502,3,77,149000
1458,3,62,97500
1486,3,45,167000
1935,3,31,197900
2448,4,15,402000
1392,2,41,110000
1181,3,36,137500
2097,1,1,423000
1936,3,6,230500
2380,3,42,129000
1679,3,14,193500
1437,3,50,168000
1180,2,84,137500
1476,3,4,173500
1369,3,84,103600
1208,3,29,165000
1839,3,50,257500
1136,3,43,140000
1441,3,31,148500
1774,4,106,87000
792,2,85,109500
2046,3,1,372500
988,3,46,128500
923,2,30,143000
1520,3,77,159434
1291,2,12,173000
1668,3,5,285000
1839,4,12,221000
2090,3,23,207500
1761,3,0,227875
1102,2,3,148800
1419,2,0,392000
1362,2,2,194700
848,1,4,141000
4316,4,13,755000
2519,4,17,335000
1073,2,85,108480
1539,3,73,141500
1137,2,19,176000
616,2,85,89000
1148,2,54,123500
894,3,45,138500
1391,2,4,196000
1800,3,4,312500
1164,3,37,140000
2576,4,0,361919
1812,4,110,140000
1484,3,6,213000
1092,3,80,55000
1824,2,36,302000
1324,2,3,254000
1456,3,0,179540
904,3,42,109900
729,2,73,52000
1178,2,110,102776
1228,2,20,189000
960,3,36,129000
1479,3,34,130500
1350,3,35,165000
2554,3,117,159500
1178,3,35,157000
2418,3,15,341000
971,3,37,128500
1742,2,21,275000
848,1,6,143000
864,3,39,124500
1470,4,54,135000
1698,3,2,320000
864,3,39,120500
1680,3,21,222000
1232,2,2,194500
1776,4,51,110000
1208,2,84,103000
1616,2,15,236500
1146,3,4,187500
2031,3,10,222500
1144,3,48,131400
948,3,39,108000
1768,2,92,163000
1040,2,56,93500
1801,3,1,239900
1200,3,22,179000
1728,3,5,190000
1432,2,97,132000
912,3,47,142000
1349,3,7,179000
1464,3,46,175000
1337,2,15,180000
2715,4,32,299800
2256,4,9,236000
2640,4,129,265979
1720,3,14,260400
1529,4,64,98000
1140,3,100,96500
1320,3,4,162000
1494,3,9,217000
2098,3,1,275500
1026,3,40,156000
1471,3,10,172500
1768,3,2,212000
1386,3,32,158900
1501,3,9,179400
2531,4,12,290000
864,2,50,127500
1301,2,85,100000
1547,3,1,215200
2365,3,10,337000
1494,2,11,270000
1506,2,0,264132
1714,3,22,196500
1750,4,68,160000
1836,3,2,216837
3279,4,7,538000
858,2,27,134900
1220,2,55,102000
1117,3,34,107000
912,2,49,114500
1973,3,1,395000
1204,2,11,162000
1614,3,1,221500
894,3,32,142500
2020,4,30,144000
1004,2,29,135000
1253,3,12,176000
1603,3,14,175900
1430,3,8,187100
1110,1,31,165500
1484,3,94,128000
1342,3,42,161500
1652,4,95,139000
2084,4,6,233000
901,2,54,107900
2087,5,41,187500
1145,2,4,160200
1062,3,31,146800
2013,3,11,269790
1496,3,0,225000
1895,3,14,194500
1564,3,30,171000
1285,3,30,143500
773,2,55,110000
3140,4,1,485000
1768,3,70,175000
1688,4,11,200000
1196,2,91,109900
1456,3,3,189000
2822,4,1,582933
1128,2,52,118000
1428,3,0,227680
980,3,39,135500
1576,3,86,223500
1086,3,40,159950
2138,2,111,106000
1309,3,32,181000
848,1,4,144500
1044,2,58,55993
1442,4,49,157900
1250,3,88,116000
1661,3,12,224900
1008,2,52,137000
1689,3,6,271000
1052,3,39,155000
1358,2,1,224000
1640,3,5,183000
936,2,56,93000
1733,3,4,225000
1489,3,69,139500
1489,3,0,232600
2084,2,1,385000
784,2,84,109500
1434,3,8,189000
2126,3,42,185000
1223,2,1,147400
1392,3,51,166000
1200,2,1,151000
1829,3,7,237000
1516,3,45,167000
1144,3,47,139950
1067,2,60,128000
1559,2,59,153500
987,2,35,100000
1099,3,13,144000
1200,3,62,130500
1482,4,83,140000
1539,3,104,157500
1165,3,42,174900
1800,6,46,141000
1416,4,93,153900
1701,3,32,171000
1775,3,16,213000
864,3,37,133500
2358,5,100,240000
1855,3,31,187000
848,1,4,131500
1456,2,3,215000
1646,4,66,164000
1445,3,45,158000
1779,3,51,170000
1040,3,48,127000
1026,3,30,147000
1481,3,15,174000
1370,3,33,152000
2654,4,38,250000
1426,3,89,189950
1039,3,45,131500
1097,3,26,152000
1148,3,50,132500
1372,3,1,250580
1002,3,39,148500
1646,3,1,248900
1120,3,46,129000
2320,2,58,169000
1949,3,17,236000
894,2,47,109500
1682,3,12,200500
910,3,55,116000
1268,3,60,133000
1131,3,68,66500
2610,4,0,303477
1040,3,44,132250
2224,4,5,350000
1155,3,49,148000
864,3,31,136500
1090,2,2,157000
1717,3,17,187500
1593,3,17,178000
2230,5,94,118500
892,3,42,100000
1709,2,9,328900
1712,4,47,145000
1393,3,53,135500
2217,4,37,268000
1505,2,56,149500
924,3,58,122900
1683,3,31,172500
1068,3,43,154500
1383,3,54,165000
1535,4,30,118858
1796,4,45,140000
951,2,70,106500
2240,6,30,142953
2364,2,1,611657
1236,3,45,135000
858,2,36,110000
1306,2,52,153000
1509,3,3,180000
1670,3,0,240000
902,3,40,125500
1063,3,56,128000
1636,3,1,255000
2057,3,70,250000
902,2,23,131000
1484,3,4,174000
2274,5,50,154300
1268,3,32,143500
1015,3,81,88000
2002,4,58,145000
1224,2,0,173733
1092,3,37,75000
480,1,57,35311
1229,3,53,135000
2127,4,16,238000
1414,3,50,176500
1721,3,13,201000
2200,4,108,145900
1316,3,1,169990
1617,2,15,193000
1686,3,26,207500
1126,3,31,175000
2374,4,4,285000
1978,4,40,176000
1788,3,8,236500
2236,4,9,222000
1466,3,2,201000
925,2,44,117500
1905,3,1,320000
1500,3,5,190000
2069,4,48,242000
747,1,80,79900
1200,2,6,184900
1971,3,4,253000
1962,3,0,239799
2403,4,70,244400
1728,4,30,150900
2060,3,10,214000
1440,4,30,150000
1632,4,40,143000
1344,3,51,137500
1869,2,119,124900
1144,3,47,143000
1629,3,5,270000
1776,3,4,192500
1381,3,38,197500
864,3,57,129000
965,3,41,119900
768,2,37,133900
1968,4,39,172000
980,4,31,127500
1958,4,61,145000
1229,2,29,124000
1057,3,45,132000
1337,3,4,185000
1416,3,11,155000
858,2,52,116500
2872,4,31,272000
1548,3,31,155000
1800,2,2,239000
1894,4,8,214900
1484,3,2,178900
1308,2,69,160000
1098,3,53,135000
968,2,99,37900
1095,2,48,140000
1192,4,57,135000
1626,2,6,173000
918,2,31,99500
1428,3,1,182000
2019,3,99,167500
1382,3,6,165000
869,2,83,85500
1241,1,1,199900
894,3,53,110000
1121,3,46,139000
999,3,47,178400
2612,4,11,336000
1266,2,1,159895
2290,4,6,255900
1734,4,32,126000
1164,3,58,125000
1635,2,96,117000
1940,3,1,395192
2030,4,31,195000
1576,3,0,197000
2392,3,9,348000
1742,4,127,168000
1851,3,43,187000
1500,3,1,173900
1718,3,3,337500
1230,3,60,121600
1050,3,45,136500
1442,2,39,185000
1077,3,84,91000
1208,2,4,206000
944,2,57,82000
691,2,87,86000
1574,3,2,232000
1680,4,31,136905
1504,1,4,181000
985,3,31,149900
1657,3,37,163500
1092,3,39,88000
1710,3,5,240000
1522,4,80,102000
1271,4,60,135000
1664,4,45,100000
1502,3,84,165000
1022,2,99,85000
1082,2,59,119200
1665,3,8,227000
1504,3,13,203000
1360,1,25,187500
1472,3,16,160000
1506,2,1,213490
1132,2,3,176000
1220,2,0,194000
1248,2,77,87000
1504,2,3,191000
2898,2,32,287000
882,3,35,112500
1264,3,50,167500
1646,3,1,293077
1376,3,66,105000
1218,3,34,118000
1928,5,90,160000
3082,5,89,197000
2520,5,13,310000
1654,3,4,230000
954,2,69,119750
845,3,52,84000
1620,2,2,315500
2263,3,7,287000
1344,3,39,97000
630,1,39,80000
1803,3,49,155000
1632,4,42,173000
1306,1,4,196000
2329,4,18,262280
2524,4,28,278000
1733,4,54,139600
2868,4,1,556581
990,3,14,145000
1771,3,49,115000
930,2,64,84900
1302,3,0,176485
1316,3,0,200141
1977,4,43,165000
1526,4,53,144500
1989,3,4,255000
1523,3,32,180000
1364,2,1,185850
1850,3,15,248000
2184,3,1,335000
1991,3,75,220000
1338,2,9,213500
894,2,73,81000
2337,5,107,90000
1103,2,81,110500
1154,3,43,154000
2260,3,14,328000
1571,3,16,178000
1611,4,44,167900
2521,5,33,151400
893,2,58,135000
1048,3,51,135000
1556,4,41,154000
1456,4,58,91500
1426,3,32,159500
1240,2,1,194000
1740,3,67,219500
1466,3,70,170000
1096,3,37,138800
848,1,2,155900
990,3,13,126000
1258,3,37,145000
1040,3,47,133000
1459,3,5,192000
1251,3,42,160000
1498,3,11,187500
996,2,18,147000
1092,3,37,83500
1953,3,4,252000
1709,3,2,137500
1247,1,1,197000
1040,2,59,92900
1252,2,9,160000
1694,4,83,136500
1200,1,41,146000
936,2,54,129000
1314,3,1,176432
1355,3,93,127000
1088,2,21,170000
1324,3,73,128000
1601,3,31,157000
438,1,89,60000
950,3,36,119500
1134,2,47,135000
1194,3,47,159500
1302,3,37,106000
2622,3,16,325000
1442,3,17,179900
2021,3,0,274725
1690,3,7,181000
1836,3,5,280000
1658,3,13,188000
1964,4,32,205000
816,2,49,129900
1008,2,54,134500
833,2,52,117000
1734,3,0,318000
1419,3,7,184100
894,3,41,130000
1601,3,50,140000
1040,3,47,133700
1012,2,87,118400
1552,3,1,212900
960,3,53,112000
698,2,62,118000
1482,3,15,163900
1005,2,54,115000
1555,2,2,174000
1530,3,3,259000
1959,4,3,215000
936,2,27,140000
1981,4,81,135000
974,3,16,93500
2210,5,127,117500
2020,3,14,239500
1600,3,10,169000
986,2,81,102000
1252,3,58,119000
1020,2,135,94000
1567,2,32,196000
1167,3,87,144000
952,2,57,139000
1868,4,33,197500
2828,4,1,424870
1006,3,49,80000
924,2,69,80000
1576,3,78,149000
1298,3,21,180000
1564,3,68,174500
1111,2,82,116900
1482,3,89,143000
932,2,57,124000
1466,3,47,149900
1811,2,50,230000
816,2,78,120500
1820,4,43,201800
1437,3,31,218000
1265,3,43,179900
1314,2,2,230000
1580,3,1,235128
1876,4,34,185000
1456,3,32,146000
1640,3,54,224000
894,3,39,129000
1432,2,29,194000
1502,3,0,233170
1694,3,2,245350
1671,3,6,173000
2108,4,73,235000
3627,4,11,625000
1118,3,31,171000
1261,3,50,163000
1250,2,2,171900
3086,3,61,200500
2345,4,74,239000
2872,4,15,285000
923,3,24,119500
1224,3,83,115000
1343,3,88,154900
1124,3,52,93000
2514,4,16,250000
1652,2,0,392500
4476,4,11,745000
1130,2,86,120000
1572,3,44,186700
1221,4,82,104900
1699,3,109,95000
1624,2,12,262000
1660,3,7,195000
1804,3,11,189000
1622,3,46,168000
1441,2,8,174000
1472,3,82,125000
1224,2,10,165000
1352,4,41,158000
1456,3,3,176000
1863,4,0,219210
1690,3,90,144000
1212,3,8,178000
1382,3,43,148000
864,3,36,116050
1779,3,11,197900
1348,3,84,117000
1630,3,9,213000
1074,3,31,153500
2196,3,19,271900
1056,2,40,107000
1700,3,3,200000
1283,3,46,140000
1660,3,0,290000
1845,3,18,189000
1752,4,22,164000
672,2,68,113000
999,3,44,134500
894,3,41,125000
1902,4,32,112000
1314,3,0,229456
912,2,59,80500
1218,3,35,91500
912,2,42,115000
1211,3,40,134000
1846,3,58,143000
2136,4,55,137900
1490,3,4,184000
1138,3,49,145000
1933,4,1,214000
912,2,43,147000
1702,1,0,367294
1507,4,48,127000
2620,4,30,190000
1190,3,44,132500
1224,2,45,101800
1188,3,51,142000
1964,4,97,130000
1784,4,92,138887
1626,2,7,175500
1948,4,2,195000
1141,3,1,142500
1484,2,1,265900
1768,3,5,224900
1689,3,0,248328
1173,3,36,170000
2076,2,0,465000
1517,3,77,230000
1868,3,23,178000
1553,3,1,186500
1034,3,34,169900
2058,3,91,129500
988,3,57,119000
2110,3,42,244000
1405,2,3,171750
874,3,41,130000
2167,3,33,294000
1656,3,5,165400
1367,3,76,127500
1987,2,14,301500
864,2,87,99900
1166,2,3,190000
1054,3,39,151000
1675,3,10,181000
1050,2,53,128900
1788,5,52,161500
1824,3,88,180500
1337,2,10,181000
1452,3,7,183900
1889,4,97,122000
2018,3,2,378500
3447,4,73,381000
1524,3,49,144000
1489,3,41,185750
935,3,41,137000
1357,2,49,177000
1250,3,97,139000
1920,4,59,137000
1395,3,37,162000
1724,3,42,197900
2031,3,6,237000
1128,2,90,68400
1573,3,7,227000
1339,2,16,180000
1040,3,32,150500
1824,4,39,139000
2447,4,91,169000
1412,4,70,132500
1328,3,47,143000
1582,4,42,190000
1659,2,9,278000
1970,3,0,281000
1152,3,46,180500
1302,3,37,119500
2372,4,117,107500
1664,4,30,162900
864,2,51,115000
1052,3,38,138500
1128,3,45,155000
1072,2,1,140000
5642,3,0,160000
1246,3,51,154000
1983,3,10,225000
1494,3,67,177500
2526,4,12,290000
1616,3,1,232000
1708,3,2,130000
1652,2,3,325000
1368,2,1,202500
990,3,15,138000
1122,2,60,147000
1294,3,17,179200
1902,3,51,335000
1274,3,2,203000
2810,4,17,302000
2599,4,11,333168
948,3,53,119000
2112,4,39,206900
1630,3,1,295493
1352,2,1,208900
1787,3,5,275000
948,3,53,111000
1478,3,52,156500
720,2,59,72500
1923,3,18,190000
708,2,69,82500
1795,2,1,147000
796,2,86,55000
774,3,76,79000
816,3,26,130500
2792,5,88,256000
1632,3,8,176500
1588,3,1,227000
954,3,30,132500
816,2,71,100000
1360,2,68,125500
1365,3,39,125000
1334,2,32,167900
1656,4,35,135000
693,2,65,52500
1861,3,4,200000
864,3,34,128500
872,3,36,123000
1114,3,5,155000
2169,3,5,228500
1913,3,81,177000
1456,3,1,155835
960,2,87,108500
2156,3,38,262500
1776,3,1,283463
1494,3,9,215000
2358,4,136,122000
2634,6,40,200000
1716,4,46,171000
1176,2,72,134900
3238,4,15,410000
1865,3,8,235000
1920,4,38,170000
892,3,42,110000
1078,3,39,149900
1573,3,10,177500
1980,3,2,315000
2601,4,87,189000
1530,3,4,260000
1738,4,89,104900
1412,3,1,156932
1200,2,1,144152
1674,3,10,216000
1790,3,9,193000
1475,4,29,127000
848,1,6,144000
1668,3,7,232000
1374,2,89,105000
1661,3,53,165500
2097,3,8,274300
2633,2,6,466500
1958,3,3,250000
1571,3,0,239000
790,2,78,91000
1604,3,68,117000
987,2,33,83000
1394,3,2,167500
864,2,96,58500
2117,4,38,237500
1762,4,86,157000
1416,3,89,112000
1258,2,70,105000
1154,3,88,125500
2784,5,28,250000
2526,5,91,136000
1746,3,3,377500
1218,3,66,131000
1525,3,6,235000
1584,4,42,124000
900,3,39,123000
1912,3,103,163000
1500,2,0,246578
2482,4,2,281213
1687,3,62,160000
1513,4,87,137500
1904,3,59,138000
1608,3,84,137450
1158,3,79,120000
1593,3,4,193000
1294,2,0,193879
1464,3,0,282922
1214,3,91,105000
1646,2,4,275000
768,2,37,133000
833,3,24,112000
1363,3,100,125500
2093,3,22,215000
1840,3,8,230000
1668,3,59,140000
1040,2,60,90000
1844,2,4,257000
1848,4,85,207000
1569,1,2,175900
2290,4,125,122500
2450,3,11,340000
1144,3,45,124000
1844,3,37,223000
1416,3,38,179900
1069,2,33,127500
848,1,5,136500
2201,4,40,274970
1344,2,49,144000
